Province,Year,Electricity production (billion kilowatt-hours),Hydropower (billion kilowatt-hours),Thermal power generation (billion kilowatt-hours),Hydro (%),Thermal (%),Renewable energy (%)
Tianjin,2016,618.0,0.03,611.51,4.8543689320388346e-05,0.9894983818770227,1.045307443365695
Tianjin,2017,638.0,0.07,626.81,0.000109717868338558,0.9824608150470219,1.742946708463955
Tianjin,2018,725.0,0.15,708.49,0.00020689655172413793,0.9772275862068965,2.256551724137934
Tianjin,2019,733.0,0.12,706.6,0.0001637107776261937,0.9639836289222374,3.585266030013634
Tianjin,2020,772.0,0.1,741.04,0.00012953367875647668,0.9598963730569948,3.9974093264248722
Tianjin,2021,800.0,0.21,761.85,0.0002625,0.9523125,4.742499999999994
Tianjin,2022,765.0,0.14,715.72,0.00018300653594771244,0.9355816993464052,6.423529411764706
Tibet,2012,26.0,18.98,4.6,0.73,0.1769230769230769,9.307692307692312
Tibet,2013,29.0,19.75,6.76,0.6810344827586207,0.23310344827586207,8.586206896551726
Tibet,2014,36.0,29.03,3.62,0.8063888888888889,0.10055555555555556,9.30555555555555
Tibet,2015,45.0,39.51,1.49,0.878,0.03311111111111111,8.888888888888888
Tibet,2016,54.0,48.78,1.82,0.9033333333333333,0.03370370370370371,6.296296296296297
Tibet,2017,59.0,51.14,1.62,0.8667796610169491,0.02745762711864407,10.57627118644068
Tibet,2018,69.0,57.28,2.93,0.8301449275362319,0.04246376811594203,12.739130434782602
Tibet,2019,86.0,68.49,3.88,0.7963953488372092,0.045116279069767444,15.848837209302335
Tibet,2020,89.0,70.24,4.12,0.7892134831460673,0.04629213483146068,16.4494382022472
Tibet,2021,113.0,93.22,3.48,0.8249557522123894,0.03079646017699115,14.42477876106195
Tibet,2022,128.0,105.57,3.19,0.824765625,0.024921875,15.031250000000004
Xinjiang,2012,1237.0,139.66,1047.52,0.11290218270008084,0.8468229587712207,4.027485852869839
Xinjiang,2013,1668.0,206.95,1357.29,0.12407074340527577,0.8137230215827338,6.220623501199041
Xinjiang,2014,2100.0,165.91,1758.03,0.0790047619047619,0.8371571428571428,8.383809523809527
Xinjiang,2015,2479.0,209.05,2061.52,0.08432835820895523,0.8315933844292053,8.407825736183948
Xinjiang,2016,2719.0,224.75,2219.36,0.08265906583302685,0.8162412651710188,10.109966899595435
Xinjiang,2017,3037.0,244.12,2384.74,0.08038195587751071,0.7852288442541981,13.438919986829113
Xinjiang,2018,3306.0,251.42,2572.95,0.07604960677555958,0.7782667876588021,14.568360556563832
Xinjiang,2019,3670.0,292.0,2829.19,0.07956403269754768,0.7708964577656676,14.953950953678474
Xinjiang,2020,4122.0,268.2,3262.87,0.06506550218340611,0.7915744784085396,14.336001940805431
Xinjiang,2021,4684.0,275.63,3675.91,0.058845004269854825,0.7847801024765158,15.63748932536294
Xinjiang,2022,4793.0,341.2,3667.81,0.07118714792405591,0.7652430627999165,16.35697892760276
Yunnan,2012,1759.0,1238.23,493.42,0.7039397384877771,0.280511654349062,1.5548607163160866
Yunnan,2013,2181.0,1656.34,479.3,0.759440623567171,0.21976157725813847,2.0797799174690517
Yunnan,2014,2526.0,2058.76,402.8,0.815027711797308,0.1594615993665875,2.551068883610447
Yunnan,2015,2553.0,2177.57,277.85,0.8529455542499021,0.10883274578926753,3.8221699960830318
Yunnan,2016,2693.0,2278.15,238.04,0.8459524693650204,0.0883921277385815,6.565540289639806
Yunnan,2017,2950.0,2489.67,240.34,0.8439559322033898,0.08147118644067797,7.45728813559322
Yunnan,2018,3242.0,2695.31,291.89,0.8313726095003084,0.09003392967304133,7.859346082665023
Yunnan,2019,3466.0,2855.85,316.31,0.8239613387189844,0.09126081938834392,8.477784189267172
Yunnan,2020,3674.0,2959.99,414.58,0.8056586826347305,0.11284158954817637,8.149972781709312
Yunnan,2021,3770.0,3028.16,455.46,0.8032254641909814,0.12081167108753316,7.596286472148544
Yunnan,2022,4017.0,3282.91,464.53,0.8172541697784416,0.11564102564102563,6.710480458053281
Zhejiang,2012,2808.0,187.01,2258.6,0.06659900284900284,0.8043447293447293,12.905626780626777
Zhejiang,2013,2942.0,173.28,2412.8,0.05889870836165874,0.8201223657375936,12.097892590074766
Zhejiang,2014,2898.0,176.18,2354.49,0.060793650793650796,0.8124534161490683,12.675293305728086
Zhejiang,2015,3011.0,229.06,2259.86,0.0760743938890734,0.7505347060777151,17.339090003321147
Zhejiang,2016,3198.0,274.41,2374.01,0.08580675422138838,0.7423420888055035,17.185115697310817
Zhejiang,2017,3336.0,204.06,2560.25,0.06116906474820144,0.7674610311750599,17.136990407673856
Zhejiang,2018,3493.0,180.02,2595.26,0.05153736043515603,0.7429888348124821,20.54738047523619
Zhejiang,2019,3538.0,256.58,2500.95,0.07252119841718485,0.7068824194460146,22.059638213680056
Zhejiang,2020,3531.0,209.09,2442.63,0.0592155196828094,0.691767204757859,24.901727555933164
Zhejiang,2021,4222.0,237.68,3048.54,0.05629559450497395,0.7220606347702511,22.164377072477503
Zhejiang,2022,4350.0,246.44,3062.44,0.05665287356321839,0.7040091954022989,23.933793103448274
Nationwide,2012,49877.0,8721.07,38928.14,0.17485153477554785,0.7804827876576378,4.466567756681439
Nationwide,2013,54316.0,9202.92,42470.08,0.16943294793431032,0.7819073569482289,4.865969511746082
Nationwide,2014,57943.0,10728.85,44001.11,0.18516214210517232,0.7593861208428974,5.545173705193029
Nationwide,2015,58149.0,11302.73,42841.86,0.19437531169925534,0.7367600474642728,6.886464083647182
Nationwide,2016,61330.0,11840.45,44370.71,0.1930613076797652,0.7234748084135008,8.34638839067341
Nationwide,2017,66045.0,11978.630000000001,47545.97,0.18137073207661444,0.7199026421379363,9.872662578544922
Nationwide,2018,71660.0,12317.89,50963.19,0.17189352497906782,0.7111804353893386,11.692603963159353
Nationwide,2019,75036.0,13044.380000000001,52201.49,0.17384162268777656,0.6956859374167066,13.047243989551681
Nationwide,2020,77790.0,13552.06,53302.48,0.1742133950379226,0.6852099241547758,14.057668080730167
Nationwide,2021,85342.0,13390.0,58058.68,0.15689812753392235,0.6803060626655105,16.279580980056718
Nationwide,2022,88489.0,13521.98,58887.979999999996,0.15280972776277277,0.6654836194329238,18.17066528043034
