Year,Carbon Emissions per GDP
2012,8.858796961755576
2013,8.193763276180853
2014,7.731736582010222
2015,7.4274728099794896
2016,7.048925775092949
2017,6.605310952839531
2018,6.319400549258847
2019,6.200235323303027
2020,6.1347387832105875
2021,6.046224344247237
2022,5.7240032249415105
